"ID","商家名称 (Business Name)","网站 (Website)","联系方式 (Email/Contact)"
"38","Blou Cafe Canggu","https://dijiwasanctuaries.com/at/ecozycanggu/facility/blou-cafe-canggu","rsv.ecozy@dijiwasanctuaries.com"
"65","LACALITA Canggu","https://www.lacalitabali.com/","canggu@lacalitabali.com"
"66","La Baracca Bali (Seminyak)","https://labaraccabali.com/","info@labaraccabali.com"
"69","Mosto | Berawa","http://www.mostobali.com/","info@mostobali.com"
"71","SHUN Omakase Counter","http://www.shunomakase.com/","info@shunomakase.com"
"73","Santanera","http://www.santanerabali.com/","info@santanerabali.com"
"75","Te'amo","https://teamobali.com/","teamorest.bali@gmail.com"
"77","B Work Bali","https://bwork.id/","bwork.bali@gmail.com"
"79","Genesis Creative Centre","http://www.inspireatgenesis.com/","info@genesiscreativecentre.com"
"80","Karya Co-working Bali","http://karyacoworking.com/","karyacoworking@gmail.com"
"81","Nebula Entrepreneur Coworking Space","https://nebula.training/","info@nebula.training"
"82","PUCO Rooftop Coworking space & Eatery","http://pucorooftop.com/","pucorooftop@gmail.com"
"84","Tropical Nomad Coworking Space","https://tropical-nomad-coworking-space.webflow.io/","hello@tropicalnomad.org" 
